#name,id,kpi7_avg,kpi7_max
,996,25 ,31 
,997,26 ,30 
,998,26 ,33 
,999,26 ,29 
,1000,25 ,29 
,1001,25 ,28 
,1002,26 ,31 
,1003,26 ,29 
,1004,25 ,29 
,1005,26 ,30 
,1006,26 ,32 
,1007,26 ,32 
,1008,25 ,33 
,1009,25 ,29 
,1010,25 ,31 
,1011,26 ,30 
,1012,26 ,30 
,1013,25 ,30 
,1014,26 ,31 
,1015,25 ,29 
,1016,25 ,32 
,1017,25 ,29 
,1018,25 ,29 
,1019,25 ,28 
,1020,25 ,29 
,1021,25 ,35 
,1022,25 ,29 
,1023,25 ,28 
,1024,25 ,31 
,1025,25 ,28 
,1026,25 ,30 
,1027,25 ,28 
,1028,26 ,31 
,1029,25 ,29 
,1030,25 ,29 
,1031,25 ,32 
,1032,25 ,30 
,1033,24 ,29 
,1034,25 ,31 
,1035,25 ,28 
,1036,25 ,31 
,1037,25 ,33 
,1038,25 ,29 
,1039,24 ,28 
,1040,25 ,29 
,1041,25 ,31 
,1042,25 ,32 
,1043,25 ,30 
,1044,25 ,30 
,1045,25 ,31 
,1046,25 ,32 
,1047,24 ,28 
,1048,26 ,34 
,1049,26 ,30 
,1050,26 ,33 
,1051,26 ,32 
,1052,25 ,32 
,1053,25 ,29 
,1054,25 ,29 
,1055,25 ,30 
,1056,26 ,31 
,1057,26 ,32 
,1058,26 ,33 
,1059,25 ,29 
,1060,26 ,30 
,1061,25 ,30 
,1062,25 ,30 
,1063,25 ,30 
,1064,25 ,30 
,1065,25 ,28 
,1066,25 ,30 
,1067,25 ,29 
,1068,25 ,30 
,1069,25 ,31 
,1070,25 ,33 
,1071,25 ,29 
,1072,25 ,30 
,1073,25 ,28 
,1074,25 ,29 
,1075,25 ,29 
,1076,25 ,29 
,1077,25 ,30 
,1078,25 ,31 
,1079,25 ,28 
,1080,25 ,32 
,1081,25 ,31 
,1082,25 ,29 
,1083,25 ,30 
,1084,26 ,32 
,1085,26 ,31 
,1086,26 ,30 
,1087,26 ,29 
,1088,26 ,31 
,1089,26 ,29 
,1090,27 ,32 
,1091,26 ,32 
,1092,27 ,33 
,1093,25 ,31 
,1094,26 ,29 
,1095,25 ,30 
,1096,25 ,28 
,1097,25 ,32 
,1098,26 ,29 
,1099,25 ,30 
,1100,26 ,32 
,1101,26 ,31 
,1102,25 ,30 
,1103,25 ,31 
,1104,25 ,29 
,1105,26 ,29 
,1106,25 ,35 
,1107,25 ,29 
,1108,25 ,32 
,1109,26 ,33 
,1110,25 ,30 
,1111,25 ,28 
,1112,25 ,29 
,1113,25 ,30 
,1114,25 ,30 
,1115,25 ,30 
,1116,25 ,31 
,1117,25 ,32 
,1118,25 ,29 
,1119,25 ,32 
,1120,25 ,30 
,1121,25 ,30 
,1122,25 ,31 
,1123,25 ,30 
,1124,25 ,27 
,1125,25 ,30 
,1126,25 ,29 
,1127,25 ,32 
,1128,25 ,32 
,1129,25 ,30 
,1130,25 ,29 
,1131,25 ,31 
,1132,25 ,30 
,1133,25 ,31 
,1134,24 ,28 
,1135,25 ,30 
,1136,25 ,30 
,1137,25 ,28 
,1138,25 ,28 
,1139,25 ,28 
,1140,25 ,32 
,1141,25 ,31 
,1142,26 ,32 
,1143,25 ,30 
,1144,25 ,31 
,1145,25 ,31 
,1146,26 ,31 
,1147,25 ,30 
,1148,25 ,29 
,1149,26 ,33 
,1150,28 ,40 
,1151,29 ,36 
,1152,28 ,37 
,1153,29 ,36 
,1154,28 ,39 
,1155,29 ,39 
,1156,28 ,32 
,1157,28 ,35 
,1158,29 ,37 
,1159,30 ,37 
,1160,29 ,42 
,1161,29 ,43 
,1162,29 ,37 
,1163,29 ,37 
,1164,30 ,44 
,1165,29 ,34 
,1166,29 ,39 
,1167,28 ,40 
,1168,29 ,38 
,1169,30 ,40 
,1170,29 ,38 
,1171,29 ,37 
,1172,30 ,42 
,1173,30 ,38 
,1174,31 ,37 
,1175,32 ,55 
,1176,31 ,41 
,1177,34 ,49 
,1178,33 ,46 
,1179,32 ,43 
,1180,28 ,40 
,1181,28 ,34 
,1182,29 ,34 
,1183,28 ,33 
,1184,29 ,36 
,1185,29 ,37 
,1186,28 ,36 
,1187,28 ,34 
,1188,28 ,36 
,1189,29 ,37 
,1190,29 ,42 
,1191,29 ,41 
,1192,28 ,36 
,1193,28 ,33 
,1194,28 ,35 
,1195,29 ,41 
,1196,29 ,37 
,1197,29 ,36 
,1198,30 ,39 
,1199,30 ,44 
,1200,28 ,38 
,1201,29 ,38 
,1202,29 ,36 
,1203,29 ,35 
,1204,29 ,35 
,1205,28 ,33 
,1206,29 ,34 
,1207,29 ,35 
,1208,29 ,37 
,1209,30 ,39 
,1210,29 ,38 
,1211,29 ,36 
,1212,27 ,35 
,1213,29 ,39 
,1214,30 ,42 
,1215,30 ,40 
,1216,29 ,44 
,1217,29 ,38 
,1218,29 ,37 
,1219,27 ,34 
,1220,28 ,37 
,1221,29 ,37 
,1222,29 ,38 
,1223,29 ,43 
,1224,29 ,37 
,1225,30 ,41 
,1226,30 ,38 
,1227,29 ,41 
,1228,30 ,43 
,1229,29 ,37 
,1230,30 ,39 
,1231,30 ,38 
,1232,29 ,37 
,1233,28 ,44 
,1234,28 ,36 
,1235,29 ,38 
,1236,30 ,44 
,1237,31 ,49 
,1238,30 ,39 
,1239,30 ,38 
,1240,31 ,44 
,1241,30 ,38 
,1242,31 ,41 
,1243,30 ,38 
,1244,28 ,32 
,1245,28 ,35 
,1246,29 ,46 
,1247,29 ,36 
,1248,28 ,39 
,1249,28 ,35 
,1250,28 ,32 
,1251,28 ,35 
,1252,29 ,39 
,1253,28 ,37 
,1254,29 ,42 
,1255,29 ,43 
,1256,30 ,42 
,1257,29 ,37 
,1258,31 ,44 
,1259,28 ,35 
,1260,29 ,39 
,1261,29 ,40 
,1262,29 ,38 
,1263,30 ,40 
,1264,29 ,39 
,1265,30 ,43 
,1266,30 ,41 
,1267,30 ,42 
,1268,30 ,36 
,1269,30 ,43 
,1270,32 ,45 
,1271,33 ,47 
,1272,33 ,46 
,1273,32 ,43 
,1274,28 ,43 
,1275,28 ,35 
,1276,28 ,33 
,1277,29 ,34 
,1278,29 ,44 
,1279,29 ,45 
,1280,29 ,36 
,1281,29 ,38 
,1282,29 ,39 
,1283,29 ,43 
,1284,28 ,37 
,1285,28 ,41 
,1286,29 ,34 
,1287,27 ,35 
,1288,29 ,38 
,1289,28 ,36 
,1290,28 ,39 
,1291,29 ,36 
,1292,29 ,38 
,1293,29 ,38 
,1294,29 ,40 
,1295,29 ,43 
,1296,29 ,40 
,1297,29 ,35 
,1298,29 ,35 
,1299,28 ,38 
,1300,29 ,34 
,1301,29 ,35 
,1302,29 ,41 
,1303,29 ,38 
,1304,29 ,38 
,1305,28 ,35 
,1306,30 ,42 
,1307,29 ,46 
,1308,30 ,42 
,1309,29 ,41 
,1310,28 ,41 
,1311,30 ,38 
,1312,29 ,42 
,1313,30 ,43 
,1314,28 ,37 
,1315,29 ,38 
,1316,29 ,38 
,1317,29 ,41 
,1318,29 ,37 
,1319,29 ,41 
,1320,30 ,38 
,1321,30 ,43 
,1322,30 ,43 
,1323,29 ,36 
,1324,29 ,36 
,1325,30 ,36 
,1326,28 ,35 
,1327,28 ,44 
,1328,28 ,36 
,1329,28 ,39 
,1330,31 ,49 
,1331,31 ,52 
,1332,32 ,46 
,1333,31 ,42 
,1334,31 ,47 
,1335,31 ,42 
,1336,31 ,47 
,1337,30 ,36 
,1338,28 ,43 
,1339,30 ,40 
,1340,29 ,38 
,1341,28 ,35 
,1342,28 ,40 
,1343,29 ,42 
,1344,29 ,34 
,1345,30 ,36 
,1346,29 ,40 
,1347,29 ,37 
,1348,29 ,38 
,1349,29 ,43 
,1350,28 ,34 
,1351,29 ,42 
,1352,30 ,44 
,1353,28 ,35 
,1354,29 ,42 
