#name,id,P12,P13,P14,P15,kpi7_avg,kpi7_max,
,400,95 ,82 ,51 ,2 ,28 ,36 ,TRUE
,401,95 ,82 ,51 ,4 ,29 ,41 ,TRUE
,402,95 ,82 ,51 ,5 ,29 ,42 ,TRUE
,403,95 ,82 ,51 ,7 ,28 ,38 ,TRUE
,404,95 ,82 ,51 ,8 ,28 ,34 ,TRUE
,405,95 ,82 ,51 ,10 ,28 ,38 ,TRUE
,406,95 ,82 ,58 ,0 ,28 ,37 ,TRUE
,407,95 ,82 ,58 ,1 ,28 ,34 ,TRUE
,408,95 ,82 ,58 ,2 ,29 ,39 ,TRUE
,409,95 ,82 ,58 ,4 ,28 ,36 ,TRUE
,410,95 ,82 ,58 ,5 ,29 ,41 ,TRUE
,411,95 ,82 ,58 ,7 ,29 ,41 ,TRUE
,412,95 ,82 ,58 ,8 ,29 ,35 ,TRUE
,413,95 ,82 ,58 ,10 ,29 ,36 ,TRUE
,414,95 ,82 ,65 ,0 ,29 ,36 ,TRUE
,415,95 ,82 ,65 ,1 ,28 ,37 ,TRUE
,416,95 ,82 ,65 ,2 ,28 ,33 ,TRUE
,417,95 ,82 ,65 ,4 ,28 ,39 ,TRUE
,418,95 ,82 ,65 ,5 ,29 ,40 ,TRUE
,419,95 ,82 ,65 ,7 ,28 ,38 ,TRUE
,420,95 ,82 ,65 ,8 ,28 ,41 ,TRUE
,421,95 ,82 ,65 ,10 ,29 ,44 ,TRUE
,422,95 ,82 ,72 ,0 ,29 ,37 ,TRUE
,423,95 ,82 ,72 ,1 ,29 ,36 ,TRUE
,424,95 ,82 ,72 ,2 ,29 ,39 ,TRUE
,425,95 ,82 ,72 ,4 ,29 ,40 ,TRUE
,426,95 ,82 ,72 ,5 ,29 ,37 ,TRUE
,427,95 ,82 ,72 ,7 ,29 ,40 ,TRUE
,428,95 ,82 ,72 ,8 ,29 ,36 ,TRUE
,429,95 ,82 ,72 ,10 ,30 ,46 ,TRUE
,430,95 ,82 ,80 ,0 ,29 ,41 ,TRUE
,431,95 ,82 ,80 ,1 ,30 ,42 ,TRUE
,432,95 ,82 ,80 ,2 ,30 ,40 ,TRUE
